                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98727,                0.50762,                0.94041,                0.75155,                0.47733,                0.53215,                0.31982,                0.99601,                0.48164,                0.90218,               0.000467,               0.000467,               0.000467
                     36,                0.98716,                0.50575,                0.93501,                0.71515,                0.48157,                0.53175,                0.32957,                0.98137,                0.47354,                0.90036,              0.0004387,              0.0004387,              0.0004387
                     37,                0.96546,                0.49299,                0.93171,                0.74335,                0.51665,                0.56016,                0.34452,                0.97915,                 0.4662,                0.89746,             0.00041041,             0.00041041,             0.00041041
                     38,                0.95664,                0.48586,                0.92396,                0.83138,                 0.4632,                0.55613,                0.33968,                0.97346,                0.46443,                0.89096,             0.00038211,             0.00038211,             0.00038211
                     39,                0.94981,                0.48717,                0.93073,                0.78104,                0.50686,                0.56664,                0.34291,                0.96282,                 0.4662,                0.89285,             0.00035382,             0.00035382,             0.00035382
                     40,                0.95517,                0.48422,                0.92788,                0.79115,                0.51213,                0.56171,                0.34599,                0.95392,                 0.4651,                0.88837,             0.00032553,             0.00032553,             0.00032553
                     41,                0.96307,                 0.4706,                0.92449,                0.80717,                 0.4958,                0.56773,                0.34926,                0.96013,                0.46105,                0.88956,             0.00029723,             0.00029723,             0.00029723
                     42,                0.94604,                0.46171,                0.92042,                0.78774,                 0.5167,                0.57492,                0.35618,                0.94431,                0.45115,                0.88667,             0.00026894,             0.00026894,             0.00026894
                     43,                0.93856,                0.45571,                0.91732,                0.80464,                0.51319,                0.57455,                0.35613,                0.93855,                 0.4458,                0.88409,             0.00024064,             0.00024064,             0.00024064
                     44,                0.93056,                0.45367,                0.91327,                 0.7959,                0.50611,                0.57617,                0.35695,                0.93717,                0.44424,                0.88223,             0.00021235,             0.00021235,             0.00021235
                     45,                0.92184,                0.44789,                0.90798,                0.77149,                0.51432,                0.57894,                0.36124,                0.92404,                0.44317,                0.87957,             0.00018406,             0.00018406,             0.00018406
                     46,                0.91134,                0.44135,                0.90587,                0.81497,                0.53731,                0.59229,                 0.3683,                0.91099,                0.43787,                0.87739,             0.00015576,             0.00015576,             0.00015576
                     47,                0.90783,                0.43985,                0.90492,                0.83996,                0.51461,                0.58747,                0.36792,                 0.9066,                0.43433,                 0.8752,             0.00012747,             0.00012747,             0.00012747
                     48,                0.89671,                0.43191,                0.90079,                0.84525,                0.51026,                0.58626,                0.36937,                 0.9018,                0.42956,                0.87423,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.88685,                0.42716,                0.90605,                0.83663,                0.52168,                0.59334,                0.37034,                0.89707,                0.42356,                0.87279,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.87883,                0.42387,                0.89814,                0.79713,                0.54851,                0.59813,                0.37411,                0.89108,                0.42301,                0.87168,             4.2584e-05,             4.2584e-05,             4.2584e-05
