Time, WP_X, WP_Y, WP_Z, WP_Yaw, WP_Pitch, WP_Roll, Velocity, Car_X, Car_Y, Car_Z, Car_Yaw, Car_Pitch, Car_Roll
0.33333373069763184, -112.17195892333984, -84.56281280517578, 0.0, 0.0, 360.0, 0.0, 0.0999999046206196, -112.20529174804688, -84.56281280517578, 2.6836394681595266e-05, 0.08630397915840149, 0.0, 0.0
0.6666677594184875, -112.16696166992188, -84.56281280517578, 0.0, 0.0014817746123299003, 360.0, 0.0, 0.11499972341592128, -112.20529174804688, -84.56281280517578, 2.6836394681595266e-05, 0.08630397915840149, 0.0, 0.0
1.0000017881393433, -112.16120910644531, -84.56281280517578, 0.0, 0.001511243637651205, 360.0, 0.0, 0.13224932967499564, -112.20529174804688, -84.56281280517578, -0.00012331009202171117, 0.08630397915840149, 0.0, 0.0
1.3333355784416199, -112.15459442138672, -84.56281280517578, 0.0, 0.0015466117765754461, 360.0, 0.0, 0.15208650078757488, -112.20529174804688, -84.56281280517578, -2.346038854739163e-06, 0.08630397915840149, 0.0, 0.0
1.6666697561740875, -112.14698791503906, -84.56281280517578, 0.0, 0.001589386141858995, 360.0, 0.0, 0.1748993923851179, -112.20529174804688, -84.56281280517578, 0.00012556076399050653, 0.08630397915840149, 0.0, 0.0
2.0000035166740417, -112.13824462890625, -84.56281280517578, 0.0, 0.0016415717545896769, 360.0, 0.0, 0.2011344132650576, -112.20529174804688, -84.56281280517578, 0.00020753860007971525, 0.08630397915840149, 0.0, 0.0
2.33333757519722, -112.12818908691406, -84.56281280517578, 0.0, 0.001705993083305657, 360.0, 0.0, 0.23130451334240312, -112.20529174804688, -84.56281280517578, 0.00023141859855968505, 0.08630397915840149, 0.0, 0.0
2.6666712760925293, -112.11662292480469, -84.56281280517578, 0.0, 0.0017866406124085188, 360.0, 0.0, 0.2659999595443738, -112.20529174804688, -84.56281280517578, 0.00025751112843863666, 0.08630397915840149, 0.0, 0.0
3.0000052750110626, -112.10332489013672, -84.56281280517578, 0.0, 0.001889328588731587, 360.0, 0.0, 0.3058998407688901, -112.20529174804688, -84.56281280517578, 0.0002751350402832031, 0.08630397915840149, 0.0, 0.0
3.33333882689476, -112.08802795410156, -84.56281280517578, 0.0, 0.002023084554821253, 360.0, 0.0, 0.35178429790839755, -112.20529174804688, -84.56281280517578, 0.0002849006559699774, 0.08630397915840149, 0.0, 0.0
3.6666731238365173, -112.07044219970703, -84.56281280517578, 0.0, 0.0022023285273462534, 360.0, 0.0, 0.40455182051536065, -112.20529174804688, -84.56281280517578, 0.0002879142703022808, 0.08630397915840149, 0.0, 0.0
4.000007390975952, -112.05021667480469, -84.56281280517578, 0.0, 0.0024522054009139538, 360.0, 0.0, 0.46523339522926005, -112.20529174804688, -84.56281280517578, 0.0002904701104853302, 0.08630397915840149, 0.0, 0.0
4.333340972661972, -112.0269546508789, -84.56281280517578, 0.0, 0.0028202293906360865, 360.0, 0.0, 0.5350162175688888, -112.20529174804688, -84.56281280517578, 0.00029226302285678685, 0.08630397915840149, 0.0, 0.0
4.666721612215042, -112.00020599365234, -84.56281280517578, 0.0, 0.003408434335142374, 360.0, 0.0, 0.6152663185823174, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
5.000055372714996, -111.96944427490234, -84.56281280517578, 0.0, 0.004483939614146948, 360.0, 0.0, 0.7075520352441121, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
5.333388924598694, -111.93406677246094, -84.56281280517578, 0.0, 0.00703792879357934, 360.0, 0.0, 0.8136782359644984, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
5.666722863912582, -111.89337921142578, -84.56280517578125, 0.0, 0.0, 360.0, 0.0, 0.9357221806762105, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
6.000056773424149, -111.84659576416016, -84.56280517578125, 0.0, 0.005677627865225077, 360.0, 0.0, 1.0315163058221106, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
6.333390951156616, -111.7950210571289, -84.56279754638672, 0.0, 0.005114781204611063, 360.0, 0.0, 1.0956068748843744, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
6.666724681854248, -111.74024200439453, -84.56278991699219, 0.0, 0.0043363189324736595, 360.0, 0.0, 1.1636792497954314, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
7.000058114528656, -111.68206024169922, -84.56278228759766, 0.0, 0.003047647885978222, 360.0, 0.0, 1.2359806426765596, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
7.3333919942379, -111.6202621459961, -84.56278228759766, 0.0, 0.005354745779186487, 360.0, 0.0, 1.3127730678625782, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
7.66672545671463, -111.55462646484375, -84.56277465820312, 0.0, 0.0, 360.0, 0.0, 1.3943357295458578, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
8.000059098005295, -111.48490905761719, -84.56275939941406, 0.0, 0.014069904573261738, 360.0, 0.0, 1.4654324636318354, -112.20529174804688, -84.56281280517578, 0.000293331133434549, 0.08630397915840149, 0.0, 0.0
